trr_rd_no,statute,description,subject_no,trr_report_id
JA171457,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19444879,101606
JA171820,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19444949,101611
JA171820,720 ILCS 550.0/4-B,POSS CAN/>10-30 GRAMS/1ST,19444949,101611
JA171948,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19445054,101613
JA171948,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19445054,101613
JA171948,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19445054,101613
JA171948,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19445054,101614
JA171948,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19445054,101614
JA171948,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19445054,101614
JA171948,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19445054,101615
JA171948,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19445054,101615
JA171948,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19445054,101615
JA171948,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19445054,101616
JA171948,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19445054,101616
JA171948,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19445054,101616
JA171855,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19445002,101617
JA171855,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19445002,101617
JA171855,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,19445002,101617
JA171960,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19445075,101618
JA171960,625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,19445075,101618
JA171960,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19445075,101618
JA171960,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19445075,101618
JA171960,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19445075,101618
JA171960,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19445075,101618
JA171960,9-12-050(B),"LANES, FAIL TO KEEP IN",19445075,101618
JA171960,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19445075,101619
JA171960,625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,19445075,101619
JA171960,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19445075,101619
JA171960,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19445075,101619
JA171960,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19445075,101619
JA171960,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19445075,101619
JA171960,9-12-050(B),"LANES, FAIL TO KEEP IN",19445075,101619
JA171960,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19445075,101620
JA171960,625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,19445075,101620
JA171960,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19445075,101620
JA171960,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19445075,101620
JA171960,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19445075,101620
JA171960,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19445075,101620
JA171960,9-12-050(B),"LANES, FAIL TO KEEP IN",19445075,101620
JA171992,625 ILCS 5.0/11-502-A,IVC - TRANS/CARRY ALC LIQ/DRIVER,19445100,101621
JA171992,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19445100,101621
JA171992,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19445100,101621
JA171992,9-76-050(B),HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,19445100,101621
JA171992,625 ILCS 5.0/11-502-A,IVC - TRANS/CARRY ALC LIQ/DRIVER,19445100,101622
JA171992,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19445100,101622
JA171992,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19445100,101622
JA171992,9-76-050(B),HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,19445100,101622
JA172635,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19445316,101623
JA172635,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,19445316,101623
JA172640,625 ILCS 5.0/11-404-A,FAIL NOTIFY DMG/UNATTENDED VEH,19443534,101624
JA172640,625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,19443534,101624
JA172640,625 ILCS 5.0/11-502-A,IVC - TRANS/CARRY ALC LIQ/DRIVER,19443534,101624
JA172640,625 ILCS 5.0/11-709-A,IVC - IMPROPER TRAFFIC LANE USAGE,19443534,101624
JA172640,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19443534,101624
JA172640,625 ILCS 5.0/6-101,INVALID TEMP DL/NO PROOF INS,19443534,101624
JA172640,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19443534,101624
JA172640,720 ILCS 5.0/12C-5-A-1,CAUSE CHILD TO BE ENDANGERED,19443534,101624
JA172640,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19443534,101624
JA172640,8-4-120,DAMAGE TO PUBLIC PROPERTY,19443534,101624
JA172978,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,1944546,101625
JA173142,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19445602,101626
JA173142,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19445602,101626
JA173142,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19445602,101626
JA173142,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19445602,101627
JA173142,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19445602,101627
JA173142,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19445602,101627
JA173142,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19445602,101628
JA173142,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19445602,101628
JA173142,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19445602,101628
JA174032,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,19445929,101630
JA174032,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19445929,101630
JA174119,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19445995,101632
JA174119,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19445995,101632
JA174251,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19446072,101633
JA174251,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19446072,101633
JA174251,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446072,101633
JA175350,625 ILCS 5.0/11-204.1-A-1,IVC - AGG FLEEING POLICE/21MPH OVER/2ND,19446519,101635
JA175350,625 ILCS 5.0/11-501-A-4,IVC - DRIVING UNDER INFLUENCE OF DRUG,19446519,101635
JA175350,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19446519,101635
JA175350,625 ILCS 5.0/6-101,DRIVING/NEVER ISSUED LICENSE,19446519,101635
JA175350,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446519,101635
JA175350,9-24-010(B),STOP AT STOP SIGN,19446519,101635
JA175350,9-40-100(A),DRIVE TO LEFT OF CENTER,19446519,101635
JA175350,9-40-140,NEGLIGENT DRIVING,19446519,101635
JA175350,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19446519,101635
JA175350,625 ILCS 5.0/11-204.1-A-1,IVC - AGG FLEEING POLICE/21MPH OVER/2ND,19446519,101636
JA175350,625 ILCS 5.0/11-501-A-4,IVC - DRIVING UNDER INFLUENCE OF DRUG,19446519,101636
JA175350,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19446519,101636
JA175350,625 ILCS 5.0/6-101,DRIVING/NEVER ISSUED LICENSE,19446519,101636
JA175350,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446519,101636
JA175350,9-24-010(B),STOP AT STOP SIGN,19446519,101636
JA175350,9-40-100(A),DRIVE TO LEFT OF CENTER,19446519,101636
JA175350,9-40-140,NEGLIGENT DRIVING,19446519,101636
JA175350,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19446519,101636
JA175472,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19446559,101637
JA175472,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19446559,101637
JA175472,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19446559,101638
JA175472,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19446559,101638
JA175521,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19446607,101639
JA175521,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19446607,101639
JA175521,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446607,101639
JA175631,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19446648,101640
JA175656,10-8-515,SOLICITING UNLAWFUL BUSINESS,19446659,101641
JA175656,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446659,101641
JA175656,720 ILCS 570.0/407-B-1,MFG/DEL HEROIN/SCH/PUB HS/PK,19446659,101641
JA175789,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446709,101642
JA175789,720 ILCS 5.0/32-10-A,VIOLATION BAIL BOND - CLASS 4 OFFENSE,19446709,101642
JA175779,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19446705,101643
JA175779,720 ILCS 5.0/16-1-A-1-A,THEFT CONTROL INTENT<$500,19446705,101643
JA181603,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19448947,101718
JA175779,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446705,101643
JA175789,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446709,101644
JA175789,720 ILCS 5.0/32-10-A,VIOLATION BAIL BOND - CLASS 4 OFFENSE,19446709,101644
JA175789,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446709,101645
JA175789,720 ILCS 5.0/32-10-A,VIOLATION BAIL BOND - CLASS 4 OFFENSE,19446709,101645
JA175779,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19446705,101646
JA175779,720 ILCS 5.0/16-1-A-1-A,THEFT CONTROL INTENT<$500,19446705,101646
JA175779,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446705,101646
JA175779,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,1944670,101647
JA175779,720 ILCS 5.0/16-1-A-1-A,THEFT CONTROL INTENT<$500,1944670,101647
JA175779,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,1944670,101647
JA175779,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19446705,101648
JA175779,720 ILCS 5.0/16-1-A-1-A,THEFT CONTROL INTENT<$500,19446705,101648
JA175779,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446705,101648
JA175779,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19446705,101649
JA175779,720 ILCS 5.0/16-1-A-1-A,THEFT CONTROL INTENT<$500,19446705,101649
JA175779,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446705,101649
JA175779,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19446705,101650
JA175779,720 ILCS 5.0/16-1-A-1-A,THEFT CONTROL INTENT<$500,19446705,101650
JA182857,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19449401,101731
JA175779,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446705,101650
JA176150,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19446836,101652
JA176150,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446836,101652
JA176150,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19446836,101653
JA176150,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446836,101653
JA176226,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19446831,101654
JA176226,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19446831,101655
JA176150,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19446836,101656
JA176150,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446836,101656
JA176246,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19446850,101657
JA176246,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446850,101657
JA176246,8-4-081,URINATE OR DEFECATE ON PUBLIC WAY,19446850,101657
JA176246,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19446850,101658
JA176246,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446850,101658
JA176246,8-4-081,URINATE OR DEFECATE ON PUBLIC WAY,19446850,101658
JA176150,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19446836,101659
JA176150,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19446836,101659
JA176442,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19447005,101662
JA176442,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19447005,101662
JA176442,9-40-220,OPERATOR SIGNAL- MEANS,19447005,101662
JA176442,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19447005,101663
JA176442,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19447005,101663
JA176442,9-40-220,OPERATOR SIGNAL- MEANS,19447005,101663
JA177134,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19447215,101666
JA177476,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19447298,101667
JA177476,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19447298,101667
JA177476,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19447298,101668
JA177476,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19447298,101668
JA177618,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19447358,101669
JA177618,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19447358,101669
JA177618,725 ILCS 5.0/112A-23-E,VIOLATE ORDER OF PROTECTION   ,19447358,101669
JA177618,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19447358,101672
JA177618,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19447358,101672
JA177618,725 ILCS 5.0/112A-23-E,VIOLATE ORDER OF PROTECTION   ,19447358,101672
JA177681,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19447346,101675
JA177681,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19447346,101675
JA177681,8-4-015,GANG LOITERING,19447346,101675
JA177681,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19447346,101676
JA177681,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19447346,101676
JA177681,8-4-015,GANG LOITERING,19447346,101676
JA177681,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19447346,101677
JA177681,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19447346,101677
JA177681,8-4-015,GANG LOITERING,19447346,101677
JA178171,625 ILCS 5.0/11-403,IVC - FAIL GIVE INFO/RENDER AID/INJURY,19447609,101678
JA178171,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19447609,101678
JA178171,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19447609,101678
JA178171,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19447609,101678
JA178171,9-24-010(B),STOP AT STOP SIGN,19447609,101678
JA178171,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19447609,101678
JA178288,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,19447674,101679
JA178815,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19447744,101681
JA178815,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19447744,101682
JA178576,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSSES WEAPON/2ND+,19447727,101683
JA178576,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,19447727,101683
JA179033,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19447903,101689
JA179033,720 ILCS 550.0/5.2-B,CANNABIS - MFG/DEL - SCHOOL - 30-500 GRMS,19447903,101689
JA179056,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19447943,101690
JA179056,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19447943,101690
JA179056,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19447943,101691
JA179056,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19447943,101691
JA179532,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19448114,101692
JA179532,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19448114,101692
JA179532,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448114,101692
JA179824,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19448169,101693
JA179928,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19448228,101694
JA179928,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19448228,101694
JA179928,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19448228,101694
JA180218,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19448334,101695
JA180218,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19448334,101695
JA180218,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19448334,101696
JA180218,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19448334,101696
JA180218,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19448334,101698
JA180218,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19448334,101698
JA180218,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19448334,101699
JA180218,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19448334,101699
JA180337,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448402,101700
JA180337,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19448402,101700
JA180271,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",19448372,101701
JA180271,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448372,101701
JA180271,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,19448372,101701
JA180271,8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,19448372,101701
JA180271,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",19448372,101702
JA180271,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448372,101702
JA180271,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,19448372,101702
JA180271,8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,19448372,101702
JA180406,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448456,101703
JA180406,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448456,101704
JA180417,625 ILCS 5.0/11-1301,IVC - STOP/STAND/PARK/NON-BUS DISTRICT,19448488,101705
JA180417,625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,19448488,101705
JA180417,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19448488,101705
JA180417,720 ILCS 5.0/12-2-B-7,AGG ASSAULT/STATE OF IL EMP,19448488,101705
JA180417,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448488,101705
JA180417,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,19448488,101705
JA180417,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19448488,101705
JA180567,10-8-526,CTA - SOLICITING/BEGGING ON (98-126-1.2),19448536,101706
JA180567,720 ILCS 5.0/21-3-A-3,CRIMINAL TRESPASS - REMAIN ON LAND,19448536,101706
JA180567,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448536,101706
JA180567,10-8-526,CTA - SOLICITING/BEGGING ON (98-126-1.2),19448536,101707
JA180567,720 ILCS 5.0/21-3-A-3,CRIMINAL TRESPASS - REMAIN ON LAND,19448536,101707
JA180567,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448536,101707
JA180704,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19448610,101709
JA180704,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19448610,101709
JA180704,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448610,101709
JA180704,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19448610,101709
JA180704,9-24-010(B),STOP AT STOP SIGN,19448610,101709
JA180704,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19448610,101710
JA180704,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19448610,101710
JA180704,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448610,101710
JA180704,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19448610,101710
JA180704,9-24-010(B),STOP AT STOP SIGN,19448610,101710
JA180704,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19448610,101711
JA180704,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19448610,101711
JA180704,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448610,101711
JA180704,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19448610,101711
JA180704,9-24-010(B),STOP AT STOP SIGN,19448610,101711
JA180704,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19448610,101713
JA180704,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19448610,101713
JA180704,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448610,101713
JA180704,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19448610,101713
JA180704,9-24-010(B),STOP AT STOP SIGN,19448610,101713
JA180704,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19448610,101714
JA180704,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19448610,101714
JA180704,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448610,101714
JA180704,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19448610,101714
JA180704,9-24-010(B),STOP AT STOP SIGN,19448610,101714
JA180866,625 ILCS 5.0/11-1502,IVC - FAIL TRAFFIC LAWS/BICYCLE,19448637,101715
JA180866,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448637,101715
JA180866,720 ILCS 570.0/407-B-1,MFG/DEL COCAINE/SCH/PUB HS/PK,19448637,101715
JA180704,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19448610,101716
JA180704,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19448610,101716
JA180704,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19448610,101716
JA180704,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19448610,101716
JA180704,9-24-010(B),STOP AT STOP SIGN,19448610,101716
