weapon_type,firearm_caliber,weapon_description,trr_report_id
VERBAL THREAT (ASSAULT),,,101514
HANDS/FISTS,,,101515
FIREARM - SEMI-AUTOMATIC, 9 MM,,101519
FIREARM - SEMI-AUTOMATIC,40 S&W,GLOCK 22,101522
OTHER (SPECIFY),,MOVED TOWARDS GUN,101528
VERBAL THREAT (ASSAULT),,,101536
FIREARM - SEMI-AUTOMATIC, 9 MM,RUGER P95,101546
HANDS/FISTS,,,101550
VERBAL THREAT (ASSAULT),,,101550
VERBAL THREAT (ASSAULT),,,101551
HANDS/FISTS,,,101552
VERBAL THREAT (ASSAULT),,,101552
"MOUTH (SPIT,BITE,ETC)",,,101555
VERBAL THREAT (ASSAULT),,,101555
KNIFE/OTHER CUTTING INSTRUMENT,,STEAK KNIFE,101557
FEET,,,101558
HANDS/FISTS,,,101558
"MOUTH (SPIT,BITE,ETC)",,,101558
HANDS/FISTS,,,101559
"MOUTH (SPIT,BITE,ETC)",,,101559
HANDS/FISTS,,,101561
VERBAL THREAT (ASSAULT),,,101561
HANDS/FISTS,,,101565
VERBAL THREAT (ASSAULT),,,101565
VERBAL THREAT (ASSAULT),,,101566
OTHER (SPECIFY),,2IN X1IN PEBBLE POND ROCKS ,101568
OTHER (SPECIFY),,ROCK THROWING AT OFFICER ,101568
"MOUTH (SPIT,BITE,ETC)",,,101571
OTHER (SPECIFY),,BITE,101571
OTHER (SPECIFY),,BLACK BATON,101571
HANDS/FISTS,,,101575
FIREARM - SEMI-AUTOMATIC,40 S&W,,101579
FIREARM - SEMI-AUTOMATIC,40 S&W,,101580
FIREARM - SEMI-AUTOMATIC,40 S&W,,101581
KNIFE/OTHER CUTTING INSTRUMENT,,8 INCH KITCHEN KNIFE,101582
FEET,,,101584
"MOUTH (SPIT,BITE,ETC)",,,101584
BLUNT INSTRUMENT,,,101596
HANDS/FISTS,,,101598
OTHER (SPECIFY),,CHARGING WITH BODY,101598
FEET,,,101599
HANDS/FISTS,,,101599
HANDS/FISTS,,,101600
"MOUTH (SPIT,BITE,ETC)",,,101617
FEET,,,101618
HANDS/FISTS,,,101618
"MOUTH (SPIT,BITE,ETC)",,,101618
FEET,,,101619
HANDS/FISTS,,,101619
"MOUTH (SPIT,BITE,ETC)",,,101619
VERBAL THREAT (ASSAULT),,,101619
FEET,,,101620
HANDS/FISTS,,,101620
"MOUTH (SPIT,BITE,ETC)",,,101620
VERBAL THREAT (ASSAULT),,,101620
HANDS/FISTS,,,101624
"MOUTH (SPIT,BITE,ETC)",,,101624
HANDS/FISTS,,,101625
VERBAL THREAT (ASSAULT),,,101632
FEET,,,101633
VERBAL THREAT (ASSAULT),,,101637
VERBAL THREAT (ASSAULT),,,101638
HANDS/FISTS,,,101639
"MOUTH (SPIT,BITE,ETC)",,,101640
OTHER (SPECIFY),,HEAD,101640
VERBAL THREAT (ASSAULT),,,101640
FEET,,,101649
VERBAL THREAT (ASSAULT),,,101649
FEET,,,101650
VERBAL THREAT (ASSAULT),,,101650
HANDS/FISTS,,,101658
HANDS/FISTS,,,101666
OTHER (SPECIFY),,HEAD BUTT,101668
FEET,,,101669
HANDS/FISTS,,,101669
VERBAL THREAT (ASSAULT),,,101669
FEET,,,101672
HANDS/FISTS,,,101672
VERBAL THREAT (ASSAULT),,,101672
FEET,,,101675
OTHER (SPECIFY),,ATTEMPTED TO KICK THE R/O,101675
VERBAL THREAT (ASSAULT),,,101675
HANDS/FISTS,,,101678
HANDS/FISTS,,,101683
OTHER (SPECIFY),,PERCIEVED WEAPON,101689
FEET,,,101692
VERBAL THREAT (ASSAULT),,,101693
VERBAL THREAT (ASSAULT),,,101694
HANDS/FISTS,,,101698
FIREARM - REVOLVER, 38 CAL,,101701
FIREARM - REVOLVER, 38 CAL,,101702
VERBAL THREAT (ASSAULT),,,101705
"MOUTH (SPIT,BITE,ETC)",,,101718
"MOUTH (SPIT,BITE,ETC)",,,101719
HANDS/FISTS,,,101721
OTHER (SPECIFY),,HEAD-BUTT,101724
"MOUTH (SPIT,BITE,ETC)",,,101727
OTHER (SPECIFY),,SUBJECT TRIED TO SPIT ON R/SGT,101727
VERBAL THREAT (ASSAULT),,,101727
FIREARM - SEMI-AUTOMATIC, 9 MM,,101733
HANDS/FISTS,,,101733
FEET,,,101742
HANDS/FISTS,,,101743
VERBAL THREAT (ASSAULT),,,101743
HANDS/FISTS,,,101744
OTHER (SPECIFY),,OFFENDER GRABBED AND PUSHED OFFICER,101746
HANDS/FISTS,,,101750
FEET,,,101751
HANDS/FISTS,,,101751
OTHER (SPECIFY),,VEHICLE,101755
VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,101755
HANDS/FISTS,,,101765
FIREARM - SEMI-AUTOMATIC, 9 MM,,101766
HANDS/FISTS,,,101766
FIREARM - SEMI-AUTOMATIC,40 S&W,,101767
HANDS/FISTS,,,101770
FIREARM - SEMI-AUTOMATIC, 9 MM,,101772
FIREARM - SEMI-AUTOMATIC, 9 MM,,101773
FEET,,,101775
HANDS/FISTS,,,101775
"MOUTH (SPIT,BITE,ETC)",,,101775
VERBAL THREAT (ASSAULT),,,101775
HANDS/FISTS,,,101777
FIREARM - SEMI-AUTOMATIC,45 CAL,GLOCK 36,101782
FIREARM - SEMI-AUTOMATIC,45 CAL,,101783
FIREARM - SEMI-AUTOMATIC,45 CAL,,101784
HANDS/FISTS,,,101784
HANDS/FISTS,,,101786
HANDS/FISTS,,,101787
VERBAL THREAT (ASSAULT),,,101791
HANDS/FISTS,,,101792
HANDS/FISTS,,,101795
"MOUTH (SPIT,BITE,ETC)",,,101795
VERBAL THREAT (ASSAULT),,,101795
HANDS/FISTS,,,101800
VERBAL THREAT (ASSAULT),,,101822
VERBAL THREAT (ASSAULT),,,101823
VERBAL THREAT (ASSAULT),,,101824
HANDS/FISTS,,,101826
VERBAL THREAT (ASSAULT),,,101826
VERBAL THREAT (ASSAULT),,,101827
FEET,,,101845
HANDS/FISTS,,,101845
VERBAL THREAT (ASSAULT),,,101847
OTHER (SPECIFY),,BALLED UP FIST,101854
VERBAL THREAT (ASSAULT),,,101854
VERBAL THREAT (ASSAULT),,,101856
FIREARM - SEMI-AUTOMATIC, 9 MM,,101857
FIREARM - SEMI-AUTOMATIC, 9 MM,,101858
FIREARM - SEMI-AUTOMATIC,380 ACP,,101859
FIREARM - SEMI-AUTOMATIC,380 ACP,,101860
VERBAL THREAT (ASSAULT),,,101864
VERBAL THREAT (ASSAULT),,,101866
OTHER (SPECIFY),,LUNGED AT R/O,101873
VERBAL THREAT (ASSAULT),,,101877
VERBAL THREAT (ASSAULT),,,101878
FEET,,,101879
"MOUTH (SPIT,BITE,ETC)",,,101879
HANDS/FISTS,,,101881
VERBAL THREAT (ASSAULT),,,101881
HANDS/FISTS,,,101882
HANDS/FISTS,,,101896
VERBAL THREAT (ASSAULT),,,101897
VERBAL THREAT (ASSAULT),,,101898
FIREARM - SEMI-AUTOMATIC, 9 MM,,101905
OTHER (SPECIFY),,ELBOW,101907
FEET,,,101908
HANDS/FISTS,,,101908
OTHER (SPECIFY),,HEAD BUTT,101908
FEET,,,101909
HANDS/FISTS,,,101909
OTHER (SPECIFY),,HEAD,101909
FIREARM - SEMI-AUTOMATIC,40 S&W,,101910
FEET,,,101911
HANDS/FISTS,,,101911
OTHER (SPECIFY),,HEAD BUTT,101911
FIREARM - SEMI-AUTOMATIC,40 S&W,,101915
OTHER (SPECIFY),,FIREARM,101915
VERBAL THREAT (ASSAULT),,,101916
VERBAL THREAT (ASSAULT),,,101917
VEHICLE - OFFICER STRUCK WITH VEHICLE,,,101920
FIREARM - SEMI-AUTOMATIC,40 S&W,,101921
OTHER (SPECIFY),,FIREARM,101922
HANDS/FISTS,,,101925
"MOUTH (SPIT,BITE,ETC)",,,101932
FEET,,,101935
OTHER (SPECIFY),,LUNGED TOWARDS,101946
FIREARM - REVOLVER,22 LR,TAURUS,101948
HANDS/FISTS,,,101950
VERBAL THREAT (ASSAULT),,,101955
HANDS/FISTS,,,101956
HANDS/FISTS,,,101958
FEET,,,101959
FEET,,,101960
FEET,,,101961
VERBAL THREAT (ASSAULT),,,101961
FIREARM - SEMI-AUTOMATIC, 9 MM,,101963
HANDS/FISTS,,,101986
OTHER (SPECIFY),,PUSHED P.O. SALGADO,101986
VERBAL THREAT (ASSAULT),,,101986
HANDS/FISTS,,,101987
FEET,,,101988
HANDS/FISTS,,,101988
"MOUTH (SPIT,BITE,ETC)",,,101988
VERBAL THREAT (ASSAULT),,,101988
FEET,,,101989
HANDS/FISTS,,,101989
VERBAL THREAT (ASSAULT),,,101989
VERBAL THREAT (ASSAULT),,,101991
VERBAL THREAT (ASSAULT),,,101992
FEET,,,102007
HANDS/FISTS,,,102007
VERBAL THREAT (ASSAULT),,,102007
FEET,,,102008
HANDS/FISTS,,,102008
VERBAL THREAT (ASSAULT),,,102008
HANDS/FISTS,,,102018
FEET,,,102021
HANDS/FISTS,,,102021
HANDS/FISTS,,,102037
HANDS/FISTS,,,102040
FEET,,,102042
HANDS/FISTS,,,102042
OTHER (SPECIFY),,HANDS/FISTS,102042
OTHER (SPECIFY),,JUMPED ON OFFICER TO THE GROUND,102052
VERBAL THREAT (ASSAULT),,,102052
FIREARM - SEMI-AUTOMATIC,40 S&W,,102055
FEET,,,102058
VERBAL THREAT (ASSAULT),,,102059
VERBAL THREAT (ASSAULT),,,102060
VERBAL THREAT (ASSAULT),,,102061
"MOUTH (SPIT,BITE,ETC)",,,102063
VERBAL THREAT (ASSAULT),,,102064
"MOUTH (SPIT,BITE,ETC)",,,102077
VERBAL THREAT (ASSAULT),,,102077
"MOUTH (SPIT,BITE,ETC)",,,102078
VERBAL THREAT (ASSAULT),,,102078
KNIFE/OTHER CUTTING INSTRUMENT,,,102079
HANDS/FISTS,,,102083
HANDS/FISTS,,,102088
KNIFE/OTHER CUTTING INSTRUMENT,,,102090
FIREARM - SEMI-AUTOMATIC,40 S&W,,102092
HANDS/FISTS,,,102092
"MOUTH (SPIT,BITE,ETC)",,,102099
HANDS/FISTS,,,102103
VERBAL THREAT (ASSAULT),,,102103
OTHER (SPECIFY),,ARRMED W KNIFE,102104
OTHER (SPECIFY),,BRANDISHING KNIFE ,102105
KNIFE/OTHER CUTTING INSTRUMENT,,,102106
OTHER (SPECIFY),,ARMED WITH KNIFE,102106
KNIFE/OTHER CUTTING INSTRUMENT,,,102107
FIREARM - REVOLVER, 38 CAL,,102108
OTHER (SPECIFY),,ATTEMPTED TO DISARM R/O OF ASP,102118
OTHER (SPECIFY),,BODY BLOCK/CHARGE,102120
FEET,,,102121
HANDS/FISTS,,,102121
"MOUTH (SPIT,BITE,ETC)",,,102122
HANDS/FISTS,,,102125
FIREARM - SEMI-AUTOMATIC,40 S&W,,102142
FIREARM - SEMI-AUTOMATIC, 9 MM,,102156
OTHER (SPECIFY),,PUSHED AWAY WHILE ARMED,102156
FIREARM - SEMI-AUTOMATIC,380 ACP,,102157
HANDS/FISTS,,,102158
"MOUTH (SPIT,BITE,ETC)",,,102158
VERBAL THREAT (ASSAULT),,,102158
"MOUTH (SPIT,BITE,ETC)",,,102160
VERBAL THREAT (ASSAULT),,,102160
VERBAL THREAT (ASSAULT),,,102161
FEET,,,102162
"MOUTH (SPIT,BITE,ETC)",,,102162
FEET,,,102163
"MOUTH (SPIT,BITE,ETC)",,,102163
FEET,,,102164
"MOUTH (SPIT,BITE,ETC)",,,102164
FEET,,,102165
HANDS/FISTS,,,102165
"MOUTH (SPIT,BITE,ETC)",,,102165
VERBAL THREAT (ASSAULT),,,102165
FEET,,,102166
HANDS/FISTS,,,102166
"MOUTH (SPIT,BITE,ETC)",,,102166
VERBAL THREAT (ASSAULT),,,102166
OTHER (SPECIFY),,CLINCHED FIST APPROACHING A/O,102170
VERBAL THREAT (ASSAULT),,,102170
OTHER (SPECIFY),,CLENCHED FISTS,102171
VERBAL THREAT (ASSAULT),,,102171
OTHER (SPECIFY),,METAL BROOM HANDEL,102173
HANDS/FISTS,,,102178
OTHER (SPECIFY),,SQUARED UP WITH NOT SHOWING HANDS,102178
HANDS/FISTS,,,102182
HANDS/FISTS,,,102183
HANDS/FISTS,,,102185
VERBAL THREAT (ASSAULT),,,102185
HANDS/FISTS,,,102193
VERBAL THREAT (ASSAULT),,,102193
VERBAL THREAT (ASSAULT),,,102195
OTHER (SPECIFY),,KNEE IN GROIN,102197
FIREARM - SEMI-AUTOMATIC,40 S&W,,102205
FEET,,,102206
"MOUTH (SPIT,BITE,ETC)",,,102212
OTHER (SPECIFY),,ATTEMPT KICKS FLAILED ARMS,102212
HANDS/FISTS,,,102213
FEET,,,102215
HANDS/FISTS,,,102215
HANDS/FISTS,,,102216
"MOUTH (SPIT,BITE,ETC)",,,102216
FEET,,,102217
KNIFE/OTHER CUTTING INSTRUMENT,,KNIFE,102229
KNIFE/OTHER CUTTING INSTRUMENT,,,102230
HANDS/FISTS,,,102236
HANDS/FISTS,,,102238
OTHER (SPECIFY),,CLENCHED FISTS,102238
VERBAL THREAT (ASSAULT),,,102238
"MOUTH (SPIT,BITE,ETC)",,,102248
VERBAL THREAT (ASSAULT),,,102249
VERBAL THREAT (ASSAULT),,,102250
FEET,,,102252
HANDS/FISTS,,,102252
FEET,,,102253
HANDS/FISTS,,,102253
FEET,,,102254
HANDS/FISTS,,,102255
OTHER (SPECIFY),,SEE NARRATIVE,102259
"MOUTH (SPIT,BITE,ETC)",,,102270
KNIFE/OTHER CUTTING INSTRUMENT,,,102272
"MOUTH (SPIT,BITE,ETC)",,,102273
OTHER (SPECIFY),,"HEADBUTTS, KNEE TO GROIN",102273
VERBAL THREAT (ASSAULT),,,102273
HANDS/FISTS,,,102274
VERBAL THREAT (ASSAULT),,,102274
KNIFE/OTHER CUTTING INSTRUMENT,,10 INCH KNIFE HONE,102276
VERBAL THREAT (ASSAULT),,,102276
OTHER (SPECIFY),,THREATEN WITH KNIFE HONE,102280
VERBAL THREAT (ASSAULT),,,102280
HANDS/FISTS,,,102281
VERBAL THREAT (ASSAULT),,,102282
FEET,,,102283
HANDS/FISTS,,,102283
OTHER (SPECIFY),,VERBAL THREATS,102283
HANDS/FISTS,,,102285
VERBAL THREAT (ASSAULT),,,102285
VERBAL THREAT (ASSAULT),,,102286
VERBAL THREAT (ASSAULT),,,102287
FEET,,,102289
VERBAL THREAT (ASSAULT),,,102289
OTHER (SPECIFY),,PUSHED OFF VEHICLE ,102290
VERBAL THREAT (ASSAULT),,,102292
FEET,,,102310
HANDS/FISTS,,,102310
"MOUTH (SPIT,BITE,ETC)",,,102318
OTHER (SPECIFY),,"PUSHED CHEST INTO PO, KICKED PO",102325
FIREARM - SEMI-AUTOMATIC, 9 MM,,102327
HANDS/FISTS,,,102327
"MOUTH (SPIT,BITE,ETC)",,,102330
OTHER (SPECIFY),,SPIT ON OFFICER,102330
FEET,,,102331
HANDS/FISTS,,,102333
HANDS/FISTS,,,102339
"MOUTH (SPIT,BITE,ETC)",,,102345
VERBAL THREAT (ASSAULT),,,102349
VERBAL THREAT (ASSAULT),,,102350
VERBAL THREAT (ASSAULT),,,102351
FEET,,,102355
HANDS/FISTS,,,102358
OTHER (SPECIFY),,BUMPED INTO A/O,102376
FEET,,,102379
HANDS/FISTS,,,102381
HANDS/FISTS,,,102384
OTHER (SPECIFY),,PULLED AWAY FLAILED ARMS,102384
HANDS/FISTS,,,102385
"MOUTH (SPIT,BITE,ETC)",,,102386
HANDS/FISTS,,,102387
OTHER (SPECIFY),,METAL POLE,102390
OTHER (SPECIFY),,METAL POLE ,102391
OTHER (SPECIFY),,METAL POLE,102392
HANDS/FISTS,,,102395
HANDS/FISTS,,,102396
VERBAL THREAT (ASSAULT),,,102396
HANDS/FISTS,,,102399
HANDS/FISTS,,,102402
FEET,,,102404
HANDS/FISTS,,,102404
OTHER (SPECIFY),,PUSHED A/O'S,102405
FIREARM - RIFLE,22 LR,,102412
HANDS/FISTS,,,102415
VERBAL THREAT (ASSAULT),,,102415
HANDS/FISTS,,,102416
HANDS/FISTS,,,102418
OTHER (SPECIFY),,SUBJECT ATTEMPT TO DEFEAT ARREST,102420
HANDS/FISTS,,,102421
OTHER (SPECIFY),,"ARMS UP, CLENCHED FIST, SIMILAR FIGHT STANCE ",102421
FEET,,,102424
HANDS/FISTS,,,102424
HANDS/FISTS,,,102434
"MOUTH (SPIT,BITE,ETC)",,,102434
KNIFE/OTHER CUTTING INSTRUMENT,,,102441
KNIFE/OTHER CUTTING INSTRUMENT,,,102443
HANDS/FISTS,,,102452
VERBAL THREAT (ASSAULT),,,102452
VERBAL THREAT (ASSAULT),,,102454
FIREARM - SEMI-AUTOMATIC,40 S&W,SMITH & WESSON SHIELD SERIAL #LER2367,102455
FIREARM - SEMI-AUTOMATIC,40 S&W,SMITH & WESSON SHIELD SERIAL#LER2367,102456
FIREARM - SEMI-AUTOMATIC,45 CAL,,102457
FIREARM - REVOLVER, 38 CAL,,102459
"MOUTH (SPIT,BITE,ETC)",,,102462
FIREARM - SEMI-AUTOMATIC, 9 MM,,102470
VERBAL THREAT (ASSAULT),,,102481
VERBAL THREAT (ASSAULT),,,102484
OTHER (SPECIFY),,SHOULDER,102487
FEET,,,102488
HANDS/FISTS,,,102488
VERBAL THREAT (ASSAULT),,,102488
OTHER (SPECIFY),,KNIFE,102494
OTHER (SPECIFY),,PEPPER SPRAY,102495
FEET,,,102498
FEET,,,102499
HANDS/FISTS,,,102502
HANDS/FISTS,,,102505
FIREARM - SEMI-AUTOMATIC,45 CAL,,102506
FIREARM - SEMI-AUTOMATIC,45 CAL,,102507
VERBAL THREAT (ASSAULT),,,102508
HANDS/FISTS,,,102509
HANDS/FISTS,,,102514
"MOUTH (SPIT,BITE,ETC)",,,102515
HANDS/FISTS,,,102517
OTHER (SPECIFY),,LUNGED AT OFFICER'S NECK WITH BOTH ARMS,102517
VERBAL THREAT (ASSAULT),,,102517
FEET,,,102518
HANDS/FISTS,,,102518
"MOUTH (SPIT,BITE,ETC)",,,102518
OTHER (SPECIFY),,HEAD,102527
FIREARM - SEMI-AUTOMATIC,22 LR,,102528
HANDS/FISTS,,,102533
VERBAL THREAT (ASSAULT),,,102533
HANDS/FISTS,,,102534
VERBAL THREAT (ASSAULT),,,102534
FEET,,,102536
FEET,,,102537
"MOUTH (SPIT,BITE,ETC)",,,102541
"MOUTH (SPIT,BITE,ETC)",,,102542
OTHER (SPECIFY),,SPAT IN P.O.'S FACE,102542
HANDS/FISTS,,,102544
FIREARM - SEMI-AUTOMATIC, 9 MM,,102552
"MOUTH (SPIT,BITE,ETC)",,,102556
HANDS/FISTS,,,102557
VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,102559
"MOUTH (SPIT,BITE,ETC)",,,102560
"MOUTH (SPIT,BITE,ETC)",,,102561
VERBAL THREAT (ASSAULT),,,102561
OTHER (SPECIFY),,"RESISTING, PULLED AWAY, ATTEMPTED TO BITE OFFICERS ON SCENE",102562
HANDS/FISTS,,,102563
"MOUTH (SPIT,BITE,ETC)",,,102563
VERBAL THREAT (ASSAULT),,,102563
VERBAL THREAT (ASSAULT),,,102564
VERBAL THREAT (ASSAULT),,,102566
VERBAL THREAT (ASSAULT),,,102573
HANDS/FISTS,,,102574
OTHER (SPECIFY),,"PULLED,DRAGGED,THROWN DOWN STAIRS",102574
VERBAL THREAT (ASSAULT),,,102574
HANDS/FISTS,,,102587
VERBAL THREAT (ASSAULT),,,102588
HANDS/FISTS,,,102596
VERBAL THREAT (ASSAULT),,,102596
VERBAL THREAT (ASSAULT),,,102600
OTHER (SPECIFY),,EMPTY GLASS BOTTLE,102605
OTHER (SPECIFY),,ELBOW STRIKE,102616
OTHER (SPECIFY),,ARMS,102617
HANDS/FISTS,,,102619
"MOUTH (SPIT,BITE,ETC)",,,102619
HANDS/FISTS,,,102620
"MOUTH (SPIT,BITE,ETC)",,,102620
"MOUTH (SPIT,BITE,ETC)",,,102621
FIREARM - REVOLVER, 38 CAL,,102627
OTHER (SPECIFY),,BICYCLE,102637
FEET,,,102638
"MOUTH (SPIT,BITE,ETC)",,,102638
VERBAL THREAT (ASSAULT),,,102638
"MOUTH (SPIT,BITE,ETC)",,,102641
FEET,,,102645
HANDS/FISTS,,,102645
VERBAL THREAT (ASSAULT),,,102645
FEET,,,102646
HANDS/FISTS,,,102646
VERBAL THREAT (ASSAULT),,,102646
FEET,,,102651
VERBAL THREAT (ASSAULT),,,102652
HANDS/FISTS,,,102661
VERBAL THREAT (ASSAULT),,,102661
HANDS/FISTS,,,102664
VERBAL THREAT (ASSAULT),,,102664
FEET,,,102667
HANDS/FISTS,,,102667
FEET,,,102668
FEET,,,102669
FIREARM - SEMI-AUTOMATIC,25 ACP,,102669
FIREARM - REVOLVER, 38 CAL,,102670
FIREARM - REVOLVER, 38 CAL,,102671
OTHER (SPECIFY),,GLASS BOTTLE,102673
HANDS/FISTS,,,102674
VERBAL THREAT (ASSAULT),,,102674
VERBAL THREAT (ASSAULT),,,102675
HANDS/FISTS,,,102676
"MOUTH (SPIT,BITE,ETC)",,,102677
OTHER (SPECIFY),,SPITTING,102677
HANDS/FISTS,,,102679
VERBAL THREAT (ASSAULT),,,102683
VERBAL THREAT (ASSAULT),,,102684
VERBAL THREAT (ASSAULT),,,102685
HANDS/FISTS,,,102690
OTHER (SPECIFY),,CHAIN ,102690
VERBAL THREAT (ASSAULT),,,102690
HANDS/FISTS,,,102692
"MOUTH (SPIT,BITE,ETC)",,,102692
HANDS/FISTS,,,102694
FIREARM - REVOLVER, 38 CAL,,102695
HANDS/FISTS,,,102696
OTHER (SPECIFY),,GARBAGE CAN ,102701
VERBAL THREAT (ASSAULT),,,102701
OTHER (SPECIFY),,GARBAGE CAN,102702
VERBAL THREAT (ASSAULT),,,102716
HANDS/FISTS,,,102717
VERBAL THREAT (ASSAULT),,,102717
OTHER (SPECIFY),,VEHICLE,102718
VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,102718
VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,102719
FEET,,,102720
VERBAL THREAT (ASSAULT),,,102723
FIREARM - REVOLVER,22 LR,,102728
FEET,,,102733
VERBAL THREAT (ASSAULT),,,102738
"MOUTH (SPIT,BITE,ETC)",,,102739
FIREARM - SEMI-AUTOMATIC, 9 MM,,102741
FIREARM - SEMI-AUTOMATIC, 9 MM,,102742
FEET,,,102744
"MOUTH (SPIT,BITE,ETC)",,,102744
"MOUTH (SPIT,BITE,ETC)",,,102745
VERBAL THREAT (ASSAULT),,,102745
FEET,,,102748
HANDS/FISTS,,,102748
OTHER (SPECIFY),,CHARGING,102748
HANDS/FISTS,,,102754
HANDS/FISTS,,,102755
HANDS/FISTS,,,102756
HANDS/FISTS,,,102765
OTHER (SPECIFY),,THROWN OBJECT,102767
HANDS/FISTS,,,102769
VERBAL THREAT (ASSAULT),,,102769
"MOUTH (SPIT,BITE,ETC)",,,102772
OTHER (SPECIFY),,SPIT,102773
"MOUTH (SPIT,BITE,ETC)",,,102774
VERBAL THREAT (ASSAULT),,,102784
FIREARM - SEMI-AUTOMATIC, 9 MM,,102788
FIREARM - SEMI-AUTOMATIC, 9 MM,,102789
OTHER (SPECIFY),,HARM TO HERSELF,102792
VERBAL THREAT (ASSAULT),,,102792
FEET,,,102793
OTHER (SPECIFY),,SWINGING ARMS,102793
VERBAL THREAT (ASSAULT),,,102793
OTHER (SPECIFY),,SWINGING ARMS,102796
VERBAL THREAT (ASSAULT),,,102796
VERBAL THREAT (ASSAULT),,,102799
HANDS/FISTS,,,102805
KNIFE/OTHER CUTTING INSTRUMENT,,,102809
KNIFE/OTHER CUTTING INSTRUMENT,,,102810
FEET,,,102815
FIREARM - SEMI-AUTOMATIC,380 ACP,"JENNINGS FIREARMS, MODEL 48",102816
FIREARM - SEMI-AUTOMATIC,380 ACP,JENNINGS FIREARMS MODEL 48,102817
FEET,,,102820
FEET,,,102821
HANDS/FISTS,,,102821
VERBAL THREAT (ASSAULT),,,102821
BLUNT INSTRUMENT,,ROCKS,102822
FEET,,,102822
HANDS/FISTS,,,102822
VERBAL THREAT (ASSAULT),,,102822
HANDS/FISTS,,,102824
HANDS/FISTS,,,102826
HANDS/FISTS,,,102827
VERBAL THREAT (ASSAULT),,,102827
HANDS/FISTS,,,102830
OTHER (SPECIFY),,CANINE,102831
OTHER (SPECIFY),,CANINE,102832
"MOUTH (SPIT,BITE,ETC)",,,102838
FEET,,,102839
"MOUTH (SPIT,BITE,ETC)",,,102839
FEET,,,102841
"MOUTH (SPIT,BITE,ETC)",,,102841
HANDS/FISTS,,,102844
VERBAL THREAT (ASSAULT),,,102844
OTHER (SPECIFY),,CANINE,102848
OTHER (SPECIFY),,CANINE,102849
OTHER (SPECIFY),,CANINE,102850
OTHER (SPECIFY),,ATTACK DOG,102851
HANDS/FISTS,,,102857
VERBAL THREAT (ASSAULT),,,102857
VERBAL THREAT (ASSAULT),,,102860
VERBAL THREAT (ASSAULT),,,102861
FEET,,,102862
HANDS/FISTS,,,102862
VERBAL THREAT (ASSAULT),,,102862
VERBAL THREAT (ASSAULT),,,102865
VERBAL THREAT (ASSAULT),,,102867
VERBAL THREAT (ASSAULT),,,102868
HANDS/FISTS,,,102870
FIREARM - SEMI-AUTOMATIC,UNKNOWN,,102871
OTHER (SPECIFY),,SPAT ON OFFICER,102872
HANDS/FISTS,,,102874
VERBAL THREAT (ASSAULT),,,102877
VERBAL THREAT (ASSAULT),,,102878
HANDS/FISTS,,,102882
FEET,,,102887
FEET,,,102888
HANDS/FISTS,,,102888
"MOUTH (SPIT,BITE,ETC)",,,102888
FIREARM - SEMI-AUTOMATIC,380 ACP,,102892
OTHER (SPECIFY),,CELL PHONE,102894
HANDS/FISTS,,,102895
OTHER (SPECIFY),,LUNGED TOWARDS R/O,102895
VERBAL THREAT (ASSAULT),,,102895
FIREARM - SEMI-AUTOMATIC,40 S&W,,102896
FEET,,,102897
FIREARM - SEMI-AUTOMATIC,40 S&W,,102897
VERBAL THREAT (ASSAULT),,,102897
FEET,,,102898
FIREARM - SEMI-AUTOMATIC,40 S&W,,102898
"MOUTH (SPIT,BITE,ETC)",,,102898
VERBAL THREAT (ASSAULT),,,102898
FIREARM - SEMI-AUTOMATIC,40 S&W,,102899
HANDS/FISTS,,,102900
HANDS/FISTS,,,102903
HANDS/FISTS,,,102904
HANDS/FISTS,,,102906
HANDS/FISTS,,,102907
FEET,,,102909
"MOUTH (SPIT,BITE,ETC)",,,102909
VERBAL THREAT (ASSAULT),,,102909
"MOUTH (SPIT,BITE,ETC)",,,102914
VERBAL THREAT (ASSAULT),,,102914
VEHICLE - OFFICER STRUCK WITH VEHICLE,,,102917
OTHER (SPECIFY),,OFFICER DRAGGED BY VEHICLE,102918
HANDS/FISTS,,,102919
HANDS/FISTS,,,102920
HANDS/FISTS,,,102922
VERBAL THREAT (ASSAULT),,,102922
FEET,,,102924
HANDS/FISTS,,,102924
"MOUTH (SPIT,BITE,ETC)",,,102924
VERBAL THREAT (ASSAULT),,,102924
FEET,,,102928
VERBAL THREAT (ASSAULT),,,102928
FIREARM - SEMI-AUTOMATIC,40 S&W,,102935
VEHICLE - OFFICER STRUCK WITH VEHICLE,,,102935
FIREARM - SEMI-AUTOMATIC, 9 MM,,102937
VEHICLE - OFFICER STRUCK WITH VEHICLE,,,102937
FIREARM - SEMI-AUTOMATIC,40 S&W,,102938
FIREARM - SEMI-AUTOMATIC,40 S&W,,102941
BLUNT INSTRUMENT,,BOARD WITH PROTRUDING NAILS,102947
HANDS/FISTS,,,102947
OTHER (SPECIFY),,BOARD WITH NAILS,102947
HANDS/FISTS,,,102948
OTHER (SPECIFY),,BOARD WITH NAILS,102948
